player_id,player_name,position,country,date_of_birth,height
p111625,Quade Taylor,Defender,England,12/11/1993,191
p1117,Lee Naylor,Defender,England,3/19/1980,175
p111773,Emil Krafth,Defender,Sweden,8/2/1994,184
p111782,Robin Olsen,Goalkeeper,Sweden,1/8/1990,198
p111787,Modou Barrow,Forward,Gambia,10/13/1992,176
p1118,Jim Magilton,Midfielder,Northern Ireland,5/6/1969,183
p111847,Adama Diomande,Forward,Norway,2/14/1990,180
p1119,Richard Naylor,Defender,England,2/28/1977,185
p11190,Michael Svensson,Defender,Sweden,11/25/1975,189
p111919,Olarenwaju Kayode,Forward,Nigeria,5/8/1993,176
p11193,Moritz Volz,Defender,Germany,1/21/1983,179
p111931,Ricardo Pereira,Defender,Portugal,10/6/1993,175
p111981,Toni Silva,Midfielder,Guinea-Bissau,9/15/1993,182
p112,Alf Inge Haaland,Defender,Norway,11/23/1972,186
p112060,Josh Passley,Defender,England,11/21/1994,184
p112063,Charles Banya,Midfielder,England,9/18/1993,170
p1121,Matt Murray,Goalkeeper,England,5/2/1981,193
p11212,Mikele Leigertwood,Defender,Antigua & Barbuda,11/12/1982,188
p112133,Tyler Blackett,Defender,England,4/2/1994,188
p112134,Jack Barmby,Midfielder,England,11/14/1994,178
p112137,Mats Møller Dæhli,Forward,Norway,3/2/1995,175
p112138,Sam Byrne,Forward,Ireland,7/23/1995,184
p112139,James Wilson,Forward,England,12/1/1995,183
p112144,Billy O'Brien,Goalkeeper,England,11/21/1995,186
p11217,Seol Ki-Hyeon,Forward,South Korea,1/8/1979,185
p11218,Ivica Mornar,Forward,Croatia,1/12/1974,188
p1122,Jermaine Wright,Midfielder,England,10/21/1975,175
p112316,Jakob Haugaard,Goalkeeper,Denmark,5/1/1992,199
p112338,Emre Can,Midfielder,Germany,1/12/1994,184
p112467,El-Hadji Ba,Midfielder,France,3/5/1993,183
p11248,Sotirios Kyrgiakos,Defender,Greece,7/23/1979,193
p1125,Adam Tanner,Midfielder,England,10/25/1973,183
p112507,Jack Rose,Goalkeeper,England,1/31/1995,190
p112516,Isaiah Brown,Midfielder,England,1/7/1997,182
p112517,Mani O'Sullivan,Midfielder,England,9/18/1993,182
p112520,Alex Palmer,Goalkeeper,England,8/10/1996,191
p11269,David Murphy,Defender,England,3/1/1984,184
